id	description
372	In Schotten Totten, nine boundary stones lie between you and your opponent. In front of each, you build poker-like formations of three cards on a side. Whoever plays the higher-ranking formation wins the stone. And in a unique twist, you may use your powers of logic to claim a stone even before your opponent has played all three of his cards, by demonstrating that the stone is impossible for him to win. Successfully claim five stones, or any three adjacent stones, and you win the game. In 2000 GMT published a rethemed version as Battle Line which includes an extra 10 "tactics" cards that modify the standard game play, and with cards that run from 1 to 10 (instead of 1 to 9). The 2004 Edition of Schottentotten has these "tactics" cards too. Schotten-Totten FAQ.
432	In 6 nimmt!, a.k.a. Category 5 and many other names, you want to score as few points as possible. To play the game, you shuffle the 104 number cards, lay out four cards face-up to start the four rows, then deal ten cards to each player. Each turn, players simultaneously choose and reveal a card from their hand, then add the cards to the rows, with cards being placed in ascending order based on their number; specifically, each card is placed in the row that ends with the highest number that's below the card's number. When the sixth card is placed in a row, the owner of that card claims the other five cards and the sixth card becomes the first card in a new row. In addition to a number from 1 to 104, each card has a point value. After finishing ten rounds, players tally their score and see whether the game ends. (Category 5 ends when a player has a score greater than 74, for example, while 6 nimmt! ends when someone tops 66.) When this happens, the player with the fewest points wins! 6 nimmt! works with 2-10 players, and the dynamics of gameplay change the more players that you have. One variant for the game has you use 34 cards, 44 cards, 54 cards, etc. (instead of all 104 cards) when you have three, four, five, etc. number of players. This change allows you to know which cards are in play, thereby allowing you to track which cards have been played and (theoretically) make better choices as to which card to play when.
438	In Scotland Yard, one of the players takes on the role of Mr. X. His job is to move from point to point around the map of London taking taxis, buses or subways. The detectives – that is, the remaining players acting in concert – move around similarly in an effort to move into the same space as Mr. X. But while the criminal's mode of transportation is nearly always known, his exact location is only known intermittently throughout the game. The 125 fare tickets are 5 black, 23 pink underground, 43 green bus, 54 yellow taxi. Similar to The Fury of Dracula Clue: The Great Museum Caper Ghost Chase Letters from Whitechapel Garibaldi: The Escape
478	In Citadels, players take on new roles each round to represent characters they hire in order to help them acquire gold and erect buildings. The game ends at the close of a round in which a player erects his/her eighth building. Players then tally their points, and the player with the highest score wins. Players start with a number of building cards in their hand; buildings come in five colors, with the purple buildings typically having a special ability and the other colored buildings providing a benefit when you play particular characters. At the start of each round, the player who was king the previous round discards one of the eight character cards at random, chooses one, then passes the cards to the next player, etc. until each player has secretly chosen a character. Each character has a special ability, and the usefulness of any character depends upon your situation, and that of your opponents. The characters then carry out their actions in numerical order: the assassin eliminating another character for the round, the thief stealing all gold from another character, the wizard swapping building cards with another player, the warlord optionally destroys a building in play, and so on. On a turn, a player earns two or more gold (or draws two building cards then discards one), then optionally constructs one building (or up to three if playing the architect this round). Buildings cost gold equal to the number of symbols on them, and each building is worth a certain number of points. In addition to points from buildings, at the end of the game a player scores bonus points for having eight buildings or buildings of all five colors. The expansion Citadels: The Dark City was initially released as a separate item, but the second edition of the game from Hans im Glück (packaged in a tin box) and the third edition from Fantasy Flight Games included this expansion and can be recognized by its rectangular box (not square). With Dark City, Citadels supports a maximum of eight players.
483	This classic game of pure negotiation has taken many forms over the years. The first The Avalon Hill Game Co version has perhaps the widest release, but Avalon Hill Games, Inc. re-released the game in 1999, complete with a colorful new map and metal pieces. In 2008, Avalon Hill released a 50th anniversary edition with a new map and cardboard pieces representing the armies and navies. In the game, players represent one of the seven "Great Powers of Europe" (Great Britain, France, Austria-Hungary, Germany, Italy, Russia or Turkey) in the years prior to World War I. Play begins in the Spring of 1901, and players make both Spring and Autumn moves each year. There are only two kinds of military units: armies and fleets. On any given turn, each of your military units has limited options: they can move into an adjoining territory, support an allied unit in an attack on an adjoining territory, support an allied unit in defending an adjoining territory, or hold their position. Players instruct each of their units by writing a set of "orders." The outcome of each turn is determined by the rules of the game. There are no dice rolls or other elements of chance. With its incredibly simplistic movement mechanics fused to a significant negotiation element, this system is highly respected by many gamers. Avalon Hill Complexity rating - 3 Re-implemented by: Colonial Diplomacy Diplomacy: Classical Variant Diplomacy: Hundred Variant
545	From Game Report Review: The game comes with four identical sets of ten paintings, each depicting a scene packed (to greater and lesser extents) with various objects. Each of up to four players or teams uses their own set, so there’s no craning around to see the picture at the far end of the table. In fact, spiffy cardboard easels prop up the scenes nicely so they’re easier to view. Everyone loads identical scenes onto their easels and a deck of cards provides a letter for the round. Everyone gets sixty seconds to write down as many things beginning with that letter as they can find in the scene. Although each word can be used only once - a football and baseball wouldn’t count as two BALLS - an object can be used multiple times for different words (e.g., BASEBALL, BALL). Once time has expired, players read through the lists. Any object on multiple lists scores one point for those who wrote it. Any item unique to a single list scores three points. When all lists have been scored everyone advances to the next scene and a new letter is chosen. The high score after all 12 scenes wins. Re-implemented by: Kaleidos Junior
568	Based on the widely-known card game Oh Hell!, players use the deck of zero through fifteen in six suits to bid for a particular number of tricks and then subsequently take exactly that many. Each game consists of ten hands, with the hand size shrinking by one each time, until the final one-card hand. Along the way, trump is randomly determined and can be changed during the hand through the use of special cards. There are also special cards that make the trump not count for a trick, others that can be declared any suit and value when played, and others that will give bonuses or penalties for taking the trick on which they're played. A newer version of this game was released by Amigo in 2000.
651	How low can you go? In Zero, you want to score as few points as possible, but to do that you need to collect the right cards in hand. The deck consists of 56 cards, with cards numbered 1-8 in seven colors. Each player starts with nine cards in hand, and five, seven or nine cards start face-up on the table depending on the number of players. On a turn, you either knock on the table to pass or you swap one card in hand for one card on the table. After the second knock, whether from the same player or a different one, all players other than the second knocker have one final chance to swap, after which they reveal and score their hands. If you have five or more cards of the same color or number in hand, then those cards score 0 points. For each other number you have, no matter how many copies, you score points equal to that card's value. Thus, having one to four 7s in hand is worth 7 points. If, however, you manage to collect both five cards of a color and five cards of a number in hand (with one card fitting in both sets), then you can declare "Zero!" and end the round immediately, with everyone else scoring points as usual. After a number of rounds equal to the number of players, whoever has the lowest score wins!
686	An interesting little game that uses a miniscule deck of 28 cards, consisting of 2 identical suits of Sun and Moon cards. Each partnership takes the part of either the Sun or Moon cult, and plays cards only of its designated suit. An interesting mechanic is that since the cards are dealt randomly, it is often necessary and even prudent to have an opponent play a card for you. The object of the game is to collect souls (of either cult) and temples of your own suit (which serve as a multiplier). Rounds move quickly, and points can add up dramatically. (Description from original incarnation, named 'Twilight')
699	HeroQuest is Milton Bradley's approach to a Dungeons & Dragons-style adventure game. One player acts as game master, revealing the maze-like dungeon piecemeal as the players wander. Up to four other players take on a character (wizard, elf, dwarf, or barbarian) and venture forth into dungeons on fantasy quests. Plastic miniatures and 3-D furniture make this game very approachable. Expansions were also released for this system. The HeroQuest series consists of the main game and a number of expansions. This game was made in cooperation with Games Workshop who designed the miniatures and helped in many of the production details including background world and art in the rule book and scenario book. Additional material which is generally missed since it is not technically an expansion was published in the HeroQuest: Adventure Design Kit which did feature one more Heroquest adventure: A Plague of Zombies. Other sources of HeroQuest supplements which are available (in some cases online.) Adventures Unlimited # 05 "The Inn of Chaos" Vindicator Vol 1, # 02 "Review: Quest Pack for the Elf" "HeroQuest Hall of Foes I" Vindicator Vol 1, # 03 "Review: Barbarian Quest Pack" "HeroQuest Hall of Foes II" Vindicator Vol 1, # 04 "HeroQuest Variants" Vindicator Vol 1, # 5a "The Rogue" Vindicator Vol 2, # 03 "HeroQuest Treasure Cards" Fractal Spectrum # 13 "HeroQuest: A Notch Above" Fractal Spectrum # 17 "HeroQuest Hall of Foes III" White Dwarf #115 "The Eyes of Chaos part 1" White Dwarf #134 "The Halls of Durrag-Dol" White Dwarf #145 "The Eyes of Chaos part 2" Marvel Comic Marvel Winter Special "Revenge of the Weatherman" The Screaming Spectre by Dave Morris: "HeroQuest: Running the Gauntlet" The Tyrant's Tomb by Dave Morris: "Heroquest: A Growl of Thunder" The Fellowship of Four by Dave Morris: Dragão Brasil #3 : Contains an article/preview of the board game by Roberto De Moraes. Dragão Brasil #4 : Contains the 5-quest pack "A CIDADE ESCRAVA" (The Slave City) by Roberto De Moraes. Dragão Brasil #6 : Contains the 3-quest pack "O RESGATE" (The Rescue) by Roberto De Moraes (signing as "Di'Follkyer"). Dragão Brasil #8 : Contains the 3-quest pack "ATAQUE AO MAGO DORMINHOCO" (Attack on the Sleeping Mage) by Roberto De Moraes. Dragão Brasil #12 : Contains information about four new HeroQuest heroes; Minotaur, Fairy, Amazon, Centaur. Dragão Dourado #5 : Contains the quest "O RESGATE DA PRINCESA" (The Rescure of the Princess) by Unknown. Só Aventuras #1 : Contains the 3-quest pack "CACADA A CRIATURA" (Creature Hunt) by Roberto De Moraes. The Universe of RPG #1 : Contains a presentation of the board game by Marcos Mulatinho. G.M The Independent Fantasy Roleplaying Magazine Vol. 2, Issue 3: Contains HeroQuest contest. Gamesman #1: --- HeroQuest Inventory Item name In US Version In Uk Version Game board 1 1 Instruction Booklet 1 1 Quest Book with 14 Quests 1 1 Evil sorcerer screen 1 1 Information Table 1 - Pad of Characters Sheets 1 1 White Combat Dice 6 4 Red Six Sided Dice 2 2 Minis: Orcs (2 mace, 2 hatchet, 4 sword) 8 8 Goblins (2 hatchet, 2 sword, 2 dagger) 6 6 Fimir 3 3 Chaos Warriors 4 4 Chaos Warlock 1 1 Gargoyle 1 1 Skeletons 4 4 Zombies 2 2 Mummies 2 2 Barbarian 1 1 Dwarf 1 1 Elf 1 1 Wizard 1 1 Hero Character Cards 4 4 Closed Doors with bases 5 5 Open Doors with bases 16 16 Furniture: Tables 2 2 Throne 1 1 Alchemist's bench 1 1 Treasure chests 3 3 Tomb 1 1 Sorcerer's table 1 1 Bookcases 2 2 Torture Rack 1 1 Fireplace 1 1 Weapons rack 1 1 Cupboard 1 1 Treasure: Empty card - 1 Gem cards=50 Gold 2 2 Gold=10 card - 1 Gold=15 card 2 - Gold=20 card - 2 Gold=25 card 2 2 Gold=1D6*10 card - 1 Gold=100 card - 1 Hazard arrow cards 2 2 Hazard fall cards 2 1 Heroic Brew card 1 1 Holy water card - 1 Jewel cards - 2 Potion of defense card 1 1 Potion of healing cards 3 2 Potion of speed - 1 Potion of strength card 1 1 Wandering monster cards 6 5 Borin’s armor card 1 1 Elixir of life card 1 - Orc’s Bane card 1 1 Ring of return card 1 - Spell ring card 1 - Spirit blade card 1 1 Talisman of lore card 1 1 Wand of magic card 1 1 Wizard’s cloak card 1 - Wizard’s staff card 1 - Chaos warrior card 1 1 Fimir card 1 1 Gargoyle card 1 1 Orc card 1 1 Goblin card 1 1 Mummy card 1 1 Skeleton card 1 1 Zombie card 1 1 Air Spells Cards 3 3 Fire Spells Cards 3 3 Earth Spells Cards 3 3 Water Spells Cards 3 3 12 Chaos Spell Cards - Ball of Flame 1 - - Cloud of Chaos 1 - - Command 1 - - Escape 1 - - Fear 1 - - Firestorm 1 - - Lightning Bolt 1 - - Rust 1 - - Sleep 1 - - Summon Orcs 1 - - Summon Undead 1 - - Tempest 1 - Battle Axe Card - 1 Chainmail Card - 1 Crossbow Card - 1 Double Edge Sword Card (=Broadsword) - 1 Hand Axe Card - 1 Helmet Cards - 2 Plate Mail Card - 1 Shield Card - 2 Short Sword Card - 1 Spear Card - 1 Staff Card - 1 Tools Card - 1 Stairs tile 1 1 Double blocked squares tiles 2 2 Skulls/Blocked squares tiles 12 - Falling Rock Trap/Blocked Squares tiles 8 8 Pit Trap/Blocked squares tiles 3 6 Pit Trap/Secret doors tiles 3 - Falling Block Trap/Secret doors tiles 4 4 Candlesticks 2 2 Set of bottles 1 1 Set of scales 1 1 Skulls 4 10 Rats 4 4
811	The game is based on the traditional middle-eastern game of Okey. First created in the 1930s and sold in hand-produced versions until the late 1970s. Similar to the Rummy that you play with cards - you try to get rid of all your tiles by forming numbers into runs of 3 tiles or more, or 3 to 4 of a kind. The colors of the numbers on the tiles are like card suits. This game may start rather uneventfully, but when the players start putting more and more tiles in play, the options for your upcoming turns can become more complex, challenging, and exciting (from areyougame.com).
822	Carcassonne is a tile-placement game in which the players draw and place a tile with a piece of southern French landscape on it. The tile might feature a city, a road, a cloister, grassland or some combination thereof, and it must be placed adjacent to tiles that have already been played, in such a way that cities are connected to cities, roads to roads, etcetera. Having placed a tile, the player can then decide to place one of their meeples on one of the areas on it: on the city as a knight, on the road as a robber, on a cloister as a monk, or on the grass as a farmer. When that area is complete, that meeple scores points for its owner. During a game of Carcassonne, players are faced with decisions like: "Is it really worth putting my last meeple there?" or "Should I use this tile to expand my city, or should I place it near my opponent instead, giving him a hard time to complete their project and score points?" Since players place only one tile and have the option to place one meeple on it, turns proceed quickly even if it is a game full of options and possibilities. First game in the Carcassonne series.
823	The Lord of the Rings is a co-operative game in which the object is to destroy the Ring while surviving the corrupting influence of Sauron. Each player plays one of the Hobbits in the fellowship, each of which has a unique power. Over the course of the game, you make your way across four conflict game boards, representing some of the most memorable conflicts from the entire trilogy: Moria, Helm's Deep, Shelob's Lair, and Mordor. Each conflict board tests your small Fellowship to the utmost as you must play your quest cards to advance along multiple tracks. These tracks represent fighting, hiding, traveling, and friendship, and by playing quest cards from your hand with matching symbols, you can keep moving forward and push closer to victory. The master game board indicates both the physical progress of the fellowship across Middle Earth and the corrupting influence of Sauron on the hobbits. If you're able to slip past your foes, you can hope to escape with minimal corruption, healing your hurts at safe havens along your path, such as the forest kingdom of Lothlórien. By playing your cards right and advancing quickly, you can collect powerful runes, unlock legendary cards to aid your journey, or find life tokens to help stave off corruption — not to mention advancing quickly through the conflicts. As you travel, the One Ring can be a crucial tool in your journey, allowing you to hide from sight, but repeated use will draw the attention of Sauron and corrupt the heart of the Ring-bearer. Your journey leads you deeper into the darkness with each passing conflict, and safe havens become few and far between. You must carefully watch the corruption track because if the Sauron miniature ever meets a Hobbit, that player is eliminated — and if the Ring-bearer is eliminated, all players lose as Sauron reclaims the power of the One Ring. To win, throw the One Ring into the volcanic fires of Mount Doom. This game should not be confused with Reiner Knizia's children's game (Lord of the Rings) with the same title, or with his very different two-player Lord of the Rings: The Confrontation. Lord of the Rings - Limited Edition A special edition limited to 500 copies in the English language and 250 in German published by Sophisticated Games and Kosmos in November 2001. The Limited Edition has a silver 22 carat gold plated ring, pewter Hobbit playing pieces, and a signed and numbered John Howe print. Box signed by Reiner Knizia.
833	(from GMT website:) For the People is a grand strategy game of the American Civil War covering the conflict from Texas to Pennsylvania, from the firing on Fort Sumter to the end at Appomattox Court House. You take the role of either President Lincoln or President Davis and command the armies, promote and relieve generals, conduct amphibious assaults, dispatch cavalry raids, and even battle incompetency and political intrigue among members of your own cabinet. For the People includes a deck of strategy cards for conducting campaigns and incorporating the many events and personalities of the war. The Confederate player can build ironclads, naval mines (torpedoes), submarines, conduct overseas purchases, and work towards foreign intervention. The Union player can build up his naval blockade, his ironclad fleet, fight draft riots, secure the Border States, and issue the Emancipation Proclamation. Relive the history of this exciting time when our nation was torn asunder. TIME SCALE: 4 months per turn MAP SCALE: Point-to-point system UNIT SCALE: 6,000 men per strength point NUMBER OF PLAYERS: One or two COMPONENTS 420 full-color, die-cut counters One 22x34" full-color mounted mapsheet 130 Cards [101 Kb pdf] 40-page Rule and Scenario Book Player Aid Card Two 6-sided dice DESIGNER: Mark Herman DEVELOPER: Mark Simonitch MAP & CARD ART: Mark Simonitch COUNTER ART: Mark Simonitch & Rodger B. MacGowan (BGG description:) This is the 4th entry in the We the People system of games, following Hannibal and Successors (but pre-dating Paths of Glory, which is arguably more of a spin-off than a follow-on). The playing area is much larger than say Hannibal, there are lots more forces and generals, and there is a much more complicated political control/strategic will system - as well as quite a few other significant elements. While still clean and streamlined for a complicated wargame, this is nontheless more of a serious hobby game than any of the previous entries in the genre. (Note from Mark Herman:) The game was reprinted and the latest and final version of the rules has incorporated all of the previous FAQs plus has re-written some of the more troublesome rules sections (rivers). To date, after a grueling three-year on-line tournament, no rules questions of note have been forthcoming. The above write up is mistaken when it states that "For The People" is based on "Hannibal v Rome", but was my second game in the "We The People" genre that I created. The game dropped my battle card system in lieu of a more traditional combat results table to speed play and increase historical accuracy. UPDATE: The 2006 edition, component description above, was recently released. Other than the use of color in the rules and the play aids, the only difference between this and the 2006 edition is I added some variant rules to the rulebook. This rulebook is available from GMT games as a free download.
1111	Taboo is a party word game. Players take turns describing a word or phrase on a drawn card to their partner without using five common additional words or phrases also on the card. The opposing partners watch a timer and use a buzzer to stop the game, buzz the player describing if one of the five off limits words or phrases is used, or the describing player makes any gestures. The describing team gets a point for each card they guess successfully and the opposing team gets a point for each card they pass on, make gestures on, or lose for saying one of the off limits words or phrases. An excellent party game! Expanded by: Taboo Refill Re-implemented by: Taboo Junior Celebrity Taboo
1198	In SET, each card contains 1-3 objects, with all of the objects on a card having the same color, shape and shading, e.g., two purple shaded ovals. Colors, shapes, and shadings come in three different types: green, purple and red; oval, diamond and squiggle; and solid, shaded and outlined. All players compete simultaneously and try to claim sets of cards in a single pass through the deck. A set consists of three cards that are either all alike or all different in each attribute. For example, if all three cards have the same number of objects, but three different shapes, shadings, and colors, then those cards are a set; if two of the cards have a common attribute that is not shared by the third, they are not a set. To play, one person takes the deck and lays out twelve cards face up. The first person to spot a set collects those three cards; if the player was mistaken, then this player cannot claim a set until after another player has done so. After someone has claimed a set, the cardholder lays out three more cards. (If all players agree that no sets can be claimed, then the cardholder lays out three more cards. These cards aren't replaced after someone claims a set.) Whoever claims the most sets wins!
