id	property	value
432	mechanism	Simultaneous Action Selection
438	type	Family Games
438	category	Deduction
438	category	Travel
438	family	Characters: Mister X
438	family	Cities: London (England)
438	family	Country: England
438	family	Players: One versus Many
438	family	Theme: Police
438	mechanism	Hidden Movement
438	mechanism	Point to Point Movement
438	mechanism	Secret Unit Deployment
438	mechanism	Team-Based Game
478	type	Family Games
478	type	Strategy Games
478	category	Bluffing
478	category	Card Game
478	category	City Building
478	category	Deduction
478	category	Fantasy
478	category	Medieval
478	family	Mechanism: Tableau Building
478	family	Series: Fantasy Flight Silver Line
478	mechanism	Action Drafting
478	mechanism	Closed Drafting
478	mechanism	Lose a Turn
478	mechanism	Set Collection
478	mechanism	Turn Order: Role Order
478	mechanism	Variable Player Powers
483	type	Strategy Games
483	type	Wargames
483	category	Bluffing
483	category	Negotiation
483	category	Political
483	category	Post-Napoleonic
483	category	Wargame
483	category	World War I
483	family	Components: Miniatures
483	family	Continents: Europe
483	family	Country: Austria-Hungary
483	family	Country: France
483	family	Country: Germany
483	family	Country: Great Britain
483	mechanism	Area Majority / Influence
483	mechanism	Area Movement
483	mechanism	Negotiation
483	mechanism	Player Elimination
483	mechanism	Prisoner's Dilemma
483	mechanism	Simultaneous Action Selection
545	type	Party Games
545	category	Party Game
545	family	Components: Sand Timers
545	family	Game: Kaleidos
545	mechanism	Pattern Recognition
568	type	Family Games
568	category	Card Game
568	family	Digital Implementations: Board Game Arena
568	mechanism	Hand Management
568	mechanism	Trick-taking
651	type	Family Games
651	category	Card Game
651	mechanism	Open Drafting
651	mechanism	Set Collection
651	mechanism	Trading
686	type	Strategy Games
686	category	Bluffing
686	category	Card Game
686	family	Books: Dr. Jekyll and Mr. Hyde
686	family	Theme: Mad Science / Mad Scientist
686	mechanism	Trick-taking
699	type	Thematic Games
699	category	Adventure
699	category	Exploration
699	category	Fantasy
699	category	Fighting
699	family	Category: Dungeon Crawler
699	family	Components: Miniatures
699	family	Game: HeroQuest
699	family	Mechanism: Campaign Games
699	family	Players: One versus Many
699	family	Setting: Warhammer Fantasy Board Games
699	mechanism	Dice Rolling
699	mechanism	Die Icon Resolution
699	mechanism	Grid Movement
699	mechanism	Modular Board
699	mechanism	Role Playing
699	mechanism	Roll / Spin and Move
811	type	Family Games
811	category	Abstract Strategy
811	category	Card Game
811	category	Number
811	family	Card Games: Draw and Discard
811	family	Card Games: Exchange
811	family	Card Games: Shedding / Stops
811	family	Components: Traditional Playing Cards
811	family	Game: Rummikub
811	family	Series: Senior (Cadaco)
811	mechanism	Set Collection
811	mechanism	Tile Placement
822	type	Family Games
822	category	City Building
822	category	Medieval
822	category	Territory Building
822	family	Cities: Carcassonne (France)
822	family	Components: Meeples (Black)
822	family	Components: Meeples (Blue)
822	family	Components: Meeples (Green)
822	family	Components: Meeples (Red)
822	family	Components: Meeples (Yellow)
822	mechanism	Area Majority / Influence
822	mechanism	Map Addition
822	mechanism	Tile Placement
823	type	Thematic Games
823	category	Adventure
823	category	Fantasy
823	category	Novel-based
823	family	Authors: J.R.R. Tolkien
823	family	Components: Miniatures
823	family	Game: Lord of the Rings (Reiner Knizia's co-op game)
823	family	Series: Fantasy Flight Silver Line
823	family	Series: Literature (Kosmos)
823	mechanism	Cooperative Game
823	mechanism	Dice Rolling
823	mechanism	Hand Management
823	mechanism	Set Collection
823	mechanism	Variable Player Powers
833	type	Wargames
833	category	American Civil War
833	category	Post-Napoleonic
833	category	Wargame
833	family	Country: USA
833	family	Players: Two Player Only Games
833	mechanism	Campaign / Battle Card Driven
833	mechanism	Dice Rolling
833	mechanism	Point to Point Movement
833	mechanism	Simulation
1111	type	Party Games
1111	category	Party Game
1111	category	Real-time
1111	category	Word Game
1111	family	Comic Books: Asterix
1111	family	Components: Sand Timers
1111	family	Game: Taboo
1111	family	Mechanism: Give a Clue / Get a Clue
1111	family	Misc: Mensa Select
1111	family	Word Games: Guess the Word
1111	mechanism	Communication Limits
1111	mechanism	Team-Based Game
1198	type	Abstract Games
1198	type	Family Games
1198	category	Card Game
1198	category	Puzzle
1198	category	Real-time
1198	family	Game: Set
1198	family	Misc: Mensa Select
1198	family	Players: Games with Solitaire Rules
1198	family	Series: Kartenspiele (Ravensburger)
1198	mechanism	Pattern Recognition
1198	mechanism	Real-Time
1198	mechanism	Set Collection
1198	mechanism	Speed Matching
1321	type	Children's Games
1321	category	Action / Dexterity
1321	category	Card Game
1321	category	Children's Game
1321	category	Puzzle
1321	mechanism	Pattern Recognition
1382	type	Family Games
1382	category	Animals
1382	category	Racing
1382	category	Sports
1382	family	Series: Alea Small Box
1382	family	Series: Book Box (DiceTree)
1382	family	Sports: Horse Racing
1382	mechanism	Betting and Bluffing
1382	mechanism	Roll / Spin and Move
1403	type	Family Games
1403	category	Card Game
1403	family	Animals: Sheep
1403	family	Digital Implementations: Board Game Arena
1403	family	Series: NSV Middys (Nürnberger Spielkartenverlag)
1403	mechanism	Hand Management
1403	mechanism	Player Elimination
1403	mechanism	Simultaneous Action Selection
1403	mechanism	Trick-taking
1502	type	Family Games
1502	category	Economic
1502	family	Components: 3-Dimensional (3D)
1502	mechanism	Auction/Bidding
1502	mechanism	Roll / Spin and Move
1502	mechanism	Take That
1662	type	Wargames
1662	category	Napoleonic
1662	category	Wargame
1662	family	Components: Block Wargames
1662	family	Country: Belgium
1662	family	Crowdfunding: Kickstarter
1662	family	History: Napoleonic Wars
1662	family	Players: Two Player Only Games
1662	mechanism	Dice Rolling
1662	mechanism	Minimap Resolution
1662	mechanism	Point to Point Movement
1662	mechanism	Secret Unit Deployment
1662	mechanism	Simulation
1927	type	Party Games
1927	type	Thematic Games
1927	category	Card Game
1927	category	Fantasy
1927	category	Fighting
1927	category	Humor
1927	family	Game: Munchkin
1927	mechanism	Hand Management
1927	mechanism	Take That
1927	mechanism	Variable Player Powers
2266	type	Abstract Games
2266	category	Abstract Strategy
2266	category	Memory
2266	family	Category: Combinatorial
2266	family	Components: 4 x 4 Grids
2266	family	Components: Wooden pieces & boards
2266	family	Misc: LongPack Games
2266	family	Players: Two Player Only Games
2266	family	Series: Classic (Gigamic)
2266	mechanism	Pattern Building
2266	mechanism	Pattern Recognition
2346	type	Abstract Games
2346	category	Abstract Strategy
2346	family	Category: Combinatorial
2346	family	Digital Implementations: Boiteajeux
2346	family	Misc: Mensa Select
2346	family	Players: Two Player Only Games
2346	family	Series: GIPF Project
2346	mechanism	Grid Movement
2346	mechanism	Map Reduction
2379	type	Party Games
2379	category	Card Game
2379	category	Party Game
2379	category	Word Game
2379	family	Game: Guesstures
2379	family	Traditional Games: Charades
2379	mechanism	Acting
2379	mechanism	Role Playing
2379	mechanism	Roll / Spin and Move
2379	mechanism	Team-Based Game
2381	type	Party Games
2381	category	Party Game
2381	category	Real-time
2381	category	Word Game
2381	family	Components: Letter Cubes / Word Dice
2381	family	Components: Polyhedral (not D6) dice
2381	family	Components: Sand Timers
2381	family	Game: Scattergories
2381	family	Misc: Mensa Select
2381	family	Promotional: Promo Board Games
2381	mechanism	Dice Rolling
2381	mechanism	Paper-and-Pencil
2452	type	Party Games
2452	category	Action / Dexterity
2452	category	Party Game
2452	family	Game: Jenga
2452	family	Mechanism: Tower Stacking
2452	family	Characters: Tarzan
2452	family	Components: 3-Dimensional (3D)
2452	family	Components: Wooden pieces & boards
2452	family	Containers: Tubes
2452	mechanism	Physical Removal
2452	mechanism	Single Loser Game
2452	mechanism	Stacking and Balancing
2651	type	Strategy Games
2651	category	Economic
2651	category	Industry / Manufacturing
2651	family	Components: Map (Continental / National scale)
2651	family	Country: Germany
2651	family	Country: USA
2651	family	Game: Power Grid
2651	family	Mechanism: Tableau Building
2651	mechanism	Auction/Bidding
2651	mechanism	Auction: Turn Order Until Pass
2651	mechanism	Catch the Leader
2651	mechanism	Income
2651	mechanism	Market
2651	mechanism	Network and Route Building
2653	type	Family Games
2653	category	Adventure
2653	category	Animals
2653	category	Bluffing
2653	category	Nautical
2653	family	Animals: Sharks
2653	family	Animals: Whales
2653	family	Components: Meeples (Animal) / Animeeples
2653	family	Components: Wooden pieces & boards
2653	family	Digital Implementations: Tabletopia
2653	family	Game: Survive!
2653	mechanism	Action Points
2653	mechanism	Dice Rolling
2653	mechanism	Grid Movement
2653	mechanism	Hexagon Grid
2653	mechanism	Map Reduction
2653	mechanism	Memory
2719	type	Abstract Games
2719	type	Children's Games
2719	category	Abstract Strategy
2719	category	Animals
2719	category	Children's Game
2719	family	Animals: Penguins
2719	family	Category: Combinatorial
2719	family	Category: n in a row
2719	family	Digital Implementations: Board Game Arena
2719	family	Digital Implementations: Yucata
2719	family	Game: Connect 4
2719	mechanism	Pattern Building
2767	type	Children's Games
2767	category	Children's Game
2767	category	Dice
2767	category	Racing
2767	family	Animals: Snails
2767	family	Characters: Miffy
2767	mechanism	Dice Rolling
2921	type	Family Games
2921	category	Children's Game
2921	category	Economic
2921	category	Electronic
2921	family	Components: 3-Dimensional (3D)
2921	family	Game: Game of Life
2921	family	Movies: Star Wars
2921	family	Theme: My Best Life
2921	family	TV Shows: Spongebob Squarepants
2921	mechanism	Events
2921	mechanism	Roll / Spin and Move
2921	mechanism	Simulation
2944	type	Children's Games
2944	type	Party Games
2944	category	Action / Dexterity
2944	category	Card Game
2944	category	Children's Game
2944	category	Party Game
2944	category	Real-time
2944	family	Characters: Lauras Stern
2944	family	Food & Drink: Fruit
2944	family	Game: Halli-Galli
2944	family	Holidays: Christmas
2944	mechanism	Pattern Recognition
2944	mechanism	Player Elimination
2955	type	Strategy Games
2955	category	Abstract Strategy
2955	category	City Building
2955	category	Territory Building
2955	family	Country: Mexico
2955	family	Series: The Mask Trilogy (Kramer / Kiesling)
2955	family	Theme: Aztecs
2955	family	Theme: Native Americans / First Peoples
2955	mechanism	Action Points
2955	mechanism	Area Majority / Influence
2955	mechanism	Enclosure
2955	mechanism	Grid Movement
2955	mechanism	Square Grid
2955	mechanism	Tile Placement
3076	type	Strategy Games
3076	category	City Building
3076	category	Economic
3076	category	Farming
3076	family	Components: Wooden pieces & boards
3076	family	Country: Puerto Rico
3076	family	Digital Implementations: Board Game Arena
3076	family	Game: Puerto Rico
3076	family	Mechanism: Tableau Building
3076	family	Series: Alea Big Box
3076	mechanism	Action Drafting
3076	mechanism	End Game Bonuses
3076	mechanism	Follow
3076	mechanism	Hidden Victory Points
3076	mechanism	Increase Value of Unchosen Resources
3076	mechanism	Turn Order: Progressive
3337	type	Family Games
3337	type	Party Games
3337	category	Card Game
3337	family	Characters: Lauras Stern
3337	mechanism	Player Elimination
3337	mechanism	Take That
3685	type	Wargames
3685	category	Medieval
3685	category	Wargame
3685	family	Components: Block Wargames
3685	family	Components: Map (Continental / National scale)
3685	family	Country: England
3685	family	Country: Scotland
3685	family	Digital Implementations: Rally the Troops
3685	family	History: Wars of Scottish Independence
3685	mechanism	Area Movement
3685	mechanism	Campaign / Battle Card Driven
3685	mechanism	Dice Rolling
3685	mechanism	Hand Management
3685	mechanism	Secret Unit Deployment
3685	mechanism	Simulation
3955	type	Party Games
3955	category	American West
3955	category	Bluffing
3955	category	Card Game
3955	category	Deduction
3955	category	Fighting
3955	family	Digital Implementations: Board Game Arena
3955	family	Game: BANG!
3955	mechanism	Hand Management
3955	mechanism	Hidden Roles
3955	mechanism	Kill Steal
3955	mechanism	Player Elimination
3955	mechanism	Take That
3955	mechanism	Team-Based Game
4209	type	Children's Games
4209	category	Children's Game
4209	category	Dice
4209	category	Racing
4209	category	Sports
4209	family	Components: Wooden pieces & boards
4209	family	Series: Mitbringspiele (HABA)
4209	family	Sports: Auto Racing
4209	mechanism	Dice Rolling
4209	mechanism	Race
4209	mechanism	Roll / Spin and Move
4209	mechanism	Track Movement
4324	type	Thematic Games
4324	category	Adventure
4324	category	Fantasy
4324	category	Movies / TV / Radio theme
4324	category	Novel-based
4324	category	Territory Building
4324	category	Wargame
4324	family	Authors: J.R.R. Tolkien
4324	family	Game: Risk (Official)
4324	mechanism	Area Majority / Influence
4324	mechanism	Area Movement
4324	mechanism	Campaign / Battle Card Driven
4324	mechanism	Dice Rolling
4390	type	Family Games
4390	category	Prehistoric
4390	family	Digital Implementations: Board Game Arena
4390	family	Digital Implementations: Tabletopia
4390	family	Digital Implementations: Yucata
4390	family	Game: Carcassonne
4390	family	Theme: Nature
4390	mechanism	Area Majority / Influence
4390	mechanism	Map Addition
4390	mechanism	Tile Placement
5588	type	Children's Games
5588	category	Action / Dexterity
5588	category	Children's Game
5588	category	Memory
5588	category	Racing
5588	family	Series: Perfection (Lakeside Industries)
5588	mechanism	Memory
5641	type	Party Games
5641	type	Thematic Games
5641	category	Adventure
5641	category	Dice
5641	category	Horror
5641	category	Party Game
5641	family	Components: Videocassettes
5641	family	Crowdfunding: Kickstarter
5641	family	Game: Atmosfear
5641	mechanism	Dice Rolling
5641	mechanism	Elapsed Real Time Ending
5641	mechanism	Roll / Spin and Move
5770	type	Children's Games
5770	category	Children's Game
5770	category	Dice
5770	family	Animals: Crows / Ravens / Magpies
5770	family	Series: Obstgarten (HABA)
5770	family	Theme: Food / Cooking
5770	family	Theme: Gardening
5770	mechanism	Cooperative Game
5770	mechanism	Dice Rolling
5782	type	Family Games
5782	category	Animals
5782	category	Card Game
5782	family	Animals: Chameleons
5782	family	Digital Implementations: Board Game Arena
5782	family	Game: Coloretto
5782	family	Theme: Tropical
5782	mechanism	Open Drafting
5782	mechanism	Push Your Luck
5782	mechanism	Set Collection
5867	type	Family Games
5867	category	Educational
5867	category	Travel
5867	family	Card Games: Draw and Discard
5867	family	Continents: Europe
5867	family	Misc: Mensa Select
5867	family	Series: 10 Days in ...
5867	mechanism	Connections
5867	mechanism	Hand Management
6249	type	Family Games
6249	type	Strategy Games
6249	category	Arabian
6249	category	City Building
6249	category	Medieval
6249	family	Cities: Granada (Andalusia, Spain)
6249	family	Country: Spain
6249	family	Crowdfunding: Kickstarter
6249	family	Digital Implementations: Board Game Arena
6249	family	Digital Implementations: Boiteajeux
6249	family	Game: Alhambra
6249	mechanism	Hand Management
6249	mechanism	Memory
6249	mechanism	Open Drafting
6249	mechanism	Set Collection
6249	mechanism	Tile Placement
6424	type	Children's Games
6424	category	Action / Dexterity
6424	category	Children's Game
6424	category	Party Game
6424	family	Brands: Television (TV) Networks
6424	family	Category: Pick Them Up
6424	family	Components: Wooden pieces & boards
6424	family	Containers: Tubes
6424	family	Series: Game in a Tin (HABA)
6424	family	TV Shows: Dora the Explorer
6424	mechanism	Physical Removal
6424	mechanism	Push Your Luck
6424	mechanism	Set Collection
6424	mechanism	Take That
6931	type	Abstract Games
6931	category	Abstract Strategy
6931	category	Children's Game
6931	category	Puzzle
6931	family	Components: Polyominoes
6931	family	Components: Wooden pieces & boards
6931	family	Players: Games with Solitaire Rules
6931	mechanism	Pattern Building
6931	mechanism	Pattern Recognition
8098	type	Party Games
8098	category	Action / Dexterity
8098	category	Card Game
8098	category	Party Game
8098	category	Real-time
8098	family	Game: Jungle Speed
8098	mechanism	Pattern Recognition
8098	mechanism	Speed Matching
8172	type	Party Games
8172	category	Bluffing
8172	category	Card Game
8172	category	Deduction
8172	category	Party Game
8172	family	Animals: Coyotes
8172	family	Mechanism: Deduction – Blind Man's Bluff
8172	mechanism	Player Elimination
8924	type	Children's Games
8924	type	Party Games
8924	category	Action / Dexterity
8924	category	Children's Game
8924	category	Dice
8924	category	Humor
8924	category	Party Game
8924	family	Series: Mitbringspiele (HABA)
8924	mechanism	Dice Rolling
9220	type	Family Games
9220	type	Party Games
9220	category	Bluffing
9220	category	Card Game
9220	category	Exploration
9220	category	Fantasy
9220	category	Party Game
9220	family	Creatures: Dwarves & Gnomes
9220	family	Digital Implementations: Board Game Arena
9220	family	Game: Saboteur
9220	family	Theme: Mining
9220	mechanism	Hand Management
9220	mechanism	Hidden Roles
9220	mechanism	Map Addition
9220	mechanism	Network and Route Building
9220	mechanism	Take That
9220	mechanism	Team-Based Game
9441	type	Children's Games
9441	type	Family Games
9441	category	Animals
9441	category	Bluffing
9441	category	Card Game
9441	category	Children's Game
9441	family	Animals: Frogs / Toads
9441	family	Animals: Turtles
9441	mechanism	Hand Management
9441	mechanism	Race
10206	type	Family Games
10206	type	Party Games
10206	category	Action / Dexterity
10206	category	Card Game
10206	family	Components: 3-Dimensional (3D)
10206	family	Game: Make 'n' Break
10206	mechanism	Pattern Building
10206	mechanism	Stacking and Balancing
10547	type	Thematic Games
10547	category	Adventure
10547	category	Exploration
10547	category	Horror
10547	category	Miniatures
10547	family	Category: Dungeon Crawler
10547	family	Game: Betrayal (Avalon Hill)
10547	family	Players: One versus Many
10547	family	Theme: Spooky Old Houses
10547	mechanism	Dice Rolling
10547	mechanism	Map Addition
10547	mechanism	Modular Board
10547	mechanism	Player Elimination
10547	mechanism	Role Playing
10547	mechanism	Storytelling
11825	type	Wargames
11825	category	Nautical
11825	category	Wargame
11825	category	World War II
11825	family	Continents: Asia
11825	family	Country: Japan
11825	family	Country: USA
11825	family	History: World War II (Pacific)
11825	family	Players: Games with Solitaire Rules
11825	family	Players: Wargames with Solitaire Rules
11825	mechanism	Action Points
11825	mechanism	Campaign / Battle Card Driven
11825	mechanism	Dice Rolling
11825	mechanism	Grid Movement
11825	mechanism	Hexagon Grid
11825	mechanism	Simulation
12333	type	Strategy Games
12333	type	Wargames
12333	category	Modern Warfare
12333	category	Political
12333	category	Wargame
12333	family	Components: Map (Global Scale)
12333	family	Components: Multi-Use Cards
12333	family	Country: Soviet Union
12333	family	Country: USA
12333	family	Game: Twilight Struggle
12333	family	History: Cold War
12333	mechanism	Action/Event
12333	mechanism	Advantage Token
12333	mechanism	Area Majority / Influence
12333	mechanism	Campaign / Battle Card Driven
12333	mechanism	Dice Rolling
12333	mechanism	Events
12589	type	Family Games
12589	type	Strategy Games
12589	category	Card Game
12589	category	Mafia
12589	family	Game: Ra
12589	family	Theme: Mystery / Crime
12589	family	Versions & Editions: Card Versions of Non-Card Games
12589	mechanism	Auction/Bidding
12589	mechanism	Push Your Luck
12589	mechanism	Set Collection
12616	type	Children's Games
12616	category	Children's Game
12616	category	Educational
12616	family	Game: Zingo!
12616	family	Traditional Games: Bingo
12616	mechanism	Pattern Recognition
12942	type	Family Games
12942	category	Card Game
12942	family	Digital Implementations: Board Game Arena
12942	family	Misc: Lowest Score Wins
12942	mechanism	Auction/Bidding
12942	mechanism	Closed Economy Auction
12942	mechanism	Increase Value of Unchosen Resources
12942	mechanism	Push Your Luck
12942	mechanism	Set Collection
13230	type	Children's Games
13230	category	Abstract Strategy
13230	category	Children's Game
13230	category	Memory
13230	family	Players: Two Player Only Games
13230	mechanism	Memory
13328	type	Abstract Games
13328	category	Abstract Strategy
13328	mechanism	Tile Placement
14105	type	Wargames
14105	category	Ancient
14105	category	Wargame
14105	family	Ancient: Rome
14105	family	Country: Greece
14105	family	Game: Commands & Colors Ancients
14105	family	History: Punic Wars
14105	family	History: Sicilian Wars
14105	family	Players: Two Player Only Games
14105	mechanism	Campaign / Battle Card Driven
14105	mechanism	Command Cards
14105	mechanism	Dice Rolling
14105	mechanism	Hand Management
14105	mechanism	Hexagon Grid
14105	mechanism	Modular Board
14996	type	Family Games
14996	category	Trains
14996	family	Components: Map (Continental / National scale)
14996	family	Continents: Europe
14996	family	Game: Ticket to Ride (Official)
14996	mechanism	Connections
14996	mechanism	End Game Bonuses
14996	mechanism	Hand Management
14996	mechanism	Network and Route Building
14996	mechanism	Open Drafting
14996	mechanism	Push Your Luck
15512	type	Family Games
15512	category	Adventure
15512	category	Bluffing
15512	category	Exploration
15512	family	Components: Gems/Crystals
15512	family	Country: Peru
15512	family	Digital Implementations: Board Game Arena
15512	family	Series: Bookshelf (Gryphon Games)
15512	family	Theme: Archaeology / Paleontology
15512	mechanism	Move Through Deck
15512	mechanism	Push Your Luck
15512	mechanism	Simultaneous Action Selection
15817	type	Family Games
15817	category	Nautical
15817	category	Pirates
15817	category	Transportation
15817	family	Admin: Better Description Needed!
15817	family	Cities: Manila (Philippines)
15817	family	Country: Philippines
15817	family	Theme: Colonial
15817	family	Theme: Pirates
15817	family	Theme: Tropical
15817	mechanism	Auction/Bidding
15817	mechanism	Auction: Turn Order Until Pass
15817	mechanism	Betting and Bluffing
15817	mechanism	Commodity Speculation
15817	mechanism	Dice Rolling
15817	mechanism	Loans
15818	type	Family Games
15818	category	Animals
15818	category	Dice
15818	family	Animals: Chickens
15818	family	Animals: Worms
15818	family	Game: Farkle
15818	family	Series: Heckmeck
15818	family	Series: The Chicken Family of Zoch
15818	mechanism	Dice Rolling
15818	mechanism	Push Your Luck
15818	mechanism	Re-rolling and Locking
15878	type	Family Games
15878	category	Card Game
15878	category	Movies / TV / Radio theme
15878	family	Card Games: Draw and Discard
15878	family	Card Games: Exchange
15878	family	Card Games: Shedding / Stops
15878	family	Components: Traditional Playing Cards
15878	family	Constructions: Smithsonian (USA)
15878	family	Series: Classic (Schmidt Spiele)
15878	mechanism	Melding and Splaying
15878	mechanism	Set Collection
15987	type	Thematic Games
15987	category	Adventure
15987	category	Fantasy
15987	category	Fighting
15987	category	Horror
15987	category	Novel-based
15987	family	Components: Map (City Scale)
15987	family	Game: Arkham Horror
15987	family	Game: Arkham Horror (Second Edition)
15987	family	Players: Games with Solitaire Rules
15987	family	Series: Arkham Horror Files (Fantasy Flight Games)
15987	family	Theme: Cthulhu Mythos
15987	mechanism	Cooperative Game
15987	mechanism	Dice Rolling
15987	mechanism	Events
15987	mechanism	Finale Ending
15987	mechanism	Hand Management
15987	mechanism	Lose a Turn
16986	type	Abstract Games
16986	type	Family Games
16986	category	Puzzle
16986	category	Real-time
16986	family	Components: Gems/Crystals
16986	family	Components: Polyominoes
16986	family	Components: Sand Timers
16986	family	Game: Ubongo
16986	family	Players: Games with Solitaire Rules
16986	family	Series: Native-art line (Kosmos)
16986	mechanism	Grid Coverage
16986	mechanism	Pattern Building
16986	mechanism	Set Collection
17025	type	Family Games
17025	category	Card Game
17025	mechanism	Hand Management
17027	type	Family Games
17027	category	Animals
17027	category	Card Game
17027	family	Animals: Ducks
17027	mechanism	Hand Management
17027	mechanism	Open Drafting
17329	type	Children's Games
17329	category	Action / Dexterity
17329	category	Animals
17329	category	Children's Game
17329	family	Animals: Alligators / Crocodiles
17329	family	Animals: Apes / Monkeys
17329	family	Animals: Birds
17329	family	Animals: Hedgehogs / Porcupines
17329	family	Animals: Lizards
17329	family	Animals: Penguins
17329	mechanism	Dice Rolling
17329	mechanism	Stacking and Balancing
17392	type	Wargames
17392	category	Negotiation
17392	category	Pike and Shot
17392	category	Political
17392	category	Religious
17392	category	Renaissance
17392	category	Wargame
17392	family	Continents: Europe
17392	family	Country: England
17392	family	Country: France
17392	family	Country: Ottoman Empire
17392	family	Country: Papal States
17392	family	History: Age of Discovery
17392	mechanism	Campaign / Battle Card Driven
17392	mechanism	Dice Rolling
17392	mechanism	Events
17392	mechanism	Hand Management
17392	mechanism	Movement Points
17392	mechanism	Point to Point Movement
18723	type	Party Games
18723	category	Card Game
18723	category	Fantasy
18723	category	Humor
18723	category	Party Game
18723	family	Mechanic: Storytelling card game
18723	family	Series: Fantasy Flight Silver Line
18723	family	Theme: Villainy
18723	mechanism	Acting
18723	mechanism	Role Playing
18723	mechanism	Single Loser Game
18723	mechanism	Storytelling
18803	type	Party Games
18803	category	Card Game
18803	category	Deduction
18803	category	Horror
18803	category	Humor
18803	category	Murder/Mystery
18803	category	Party Game
18803	family	Game: Black Stories
18803	mechanism	Storytelling
19841	type	Abstract Games
19841	category	Abstract Strategy
19841	family	Category: Combinatorial
19841	family	Category: n in a row
19841	family	Components: Marbles
19841	family	Game: Pentago
19841	family	Misc: Mensa Select
19841	family	Players: Two Player Only Games
19841	mechanism	Map Deformation
19841	mechanism	Pattern Building
